t,Qi(t),H(t)
1812,"40,60364516","21,82672692"
1815,"40,60364516","21,83161562"
1818,"40,60364516","21,83646639"
1821,"40,60364516","21,84127957"
1824,"40,60364516","21,84605549"
1827,"40,60364516","21,85079447"
1830,"40,60364516","21,85549683"
1833,"40,60364516","21,86016289"
1836,"40,60364516","21,86479297"
1839,"40,60364516","21,86938736"
1842,"40,60364516","21,87394639"
1845,"40,60364516","21,87847036"
1848,"40,60364516","21,88295956"
1851,"40,60364516","21,88741429"
1854,"40,60364516","21,89183486"
1857,"40,60364516","21,89622155"
1860,"40,60364516","21,90057466"
1863,"40,60364516","21,90489446"
1866,"40,60364516","21,90918124"
1869,"40,60364516","21,91343529"
1872,"40,60364516","21,91765687"
1875,"40,60364516","21,92184628"
1878,"40,60364516","21,92600377"
1881,"40,60364516","21,93012961"
1884,"40,60364516","21,93422409"
1887,"40,60364516","21,93828745"
1890,"40,60364516","21,94231995"
1893,"40,60364516","21,94632187"
1896,"40,60364516","21,95029346"
1899,"40,60364516","21,95423496"
1902,"40,60364516","21,95814664"
1905,"40,60364516","21,96202873"
1908,"40,60364516","21,96588149"
1911,"40,60364516","21,96970516"
1914,"40,60364516","21,97349999"
1917,"40,60364516","21,9772662"
1920,"40,60364516","21,98100405"
1923,"40,60364516","21,98471376"
1926,"40,60364516","21,98839556"
1929,"40,60364516","21,9920497"
1932,"40,60364516","21,99567638"
1935,"40,60364516","21,99927585"
1938,"40,60364516","22,00284833"
1941,"40,60364516","22,00639403"
1944,"40,60364516","22,00991317"
1947,"40,60364516","22,01340598"
1950,"40,60364516","22,01687267"
1953,"40,60364516","22,02031345"
1956,"40,60364516","22,02372854"
1959,"40,60364516","22,02711814"
1962,"40,60364516","22,03048245"
1965,"40,60364516","22,0338217"
1968,"40,60364516","22,03713607"
1971,"40,60364516","22,04042578"
1974,"40,60364516","22,04369101"
1977,"40,60364516","22,04693198"
1980,"40,60364516","22,05014887"
1983,"40,60364516","22,05334188"
1986,"40,60364516","22,0565112"
1989,"40,60364516","22,05965702"
1992,"40,60364516","22,06277954"
1995,"40,60364516","22,06587893"
1998,"40,60364516","22,06895539"
2001,"40,60364516","22,07200909"
2004,"40,60364516","22,07504023"
2007,"40,60364516","22,07804897"
2010,"40,60364516","22,08103551"
2013,"40,60364516","22,08400001"
2016,"40,60364516","22,08694265"
2019,"40,60364516","22,08986361"
2022,"40,60364516","22,09276306"
2025,"40,60364516","22,09564116"
2028,"40,60364516","22,0984981"
2031,"40,60364516","22,10133402"
2034,"40,60364516","22,10414912"
2037,"40,60364516","22,10694354"
2040,"40,60364516","22,10971745"
2043,"40,60364516","22,11247101"
2046,"40,60364516","22,11520438"
2049,"40,60364516","22,11791773"
2052,"40,60364516","22,1206112"
2055,"40,60364516","22,12328497"
2058,"40,60364516","22,12593917"
2061,"40,60364516","22,12857396"
2064,"40,60364516","22,1311895"
2067,"40,60364516","22,13378594"
2070,"40,60364516","22,13636342"
2073,"40,60364516","22,1389221"
2076,"40,60364516","22,14146212"
2079,"40,60364516","22,14398362"
2082,"40,60364516","22,14648675"
2085,"40,60364516","22,14897166"
2088,"40,60364516","22,15143848"
2091,"40,60364516","22,15388736"
2094,"40,60364516","22,15631843"
2097,"40,60364516","22,15873184"
2100,"40,60364516","22,16112772"
2103,"40,60364516","22,1635062"
2106,"40,60364516","22,16586742"
2109,"40,60364516","22,16821151"
2112,"40,60364516","22,17053861"
2115,"40,60364516","22,17284885"
2118,"40,60364516","22,17514235"
2121,"40,60364516","22,17741925"
2124,"40,60364516","22,17967967"
2127,"40,60364516","22,18192374"
2130,"40,60364516","22,18415159"
2133,"40,60364516","22,18636334"
2136,"40,60364516","22,18855911"
2139,"40,60364516","22,19073902"
2142,"40,60364516","22,1929032"
2145,"40,60364516","22,19505177"
2148,"40,60364516","22,19718485"
2151,"40,60364516","22,19930255"
2154,"40,60364516","22,20140499"
2157,"40,60364516","22,2034923"
2160,"40,60364516","22,20556457"
2163,"40,60364516","22,20762194"
2166,"40,60364516","22,2096645"
2169,"40,60364516","22,21169238"
2172,"40,60364516","22,21370568"
2175,"40,60364516","22,21570453"
2178,"40,60364516","22,21768901"
2181,"40,60364516","22,21965925"
2184,"40,60364516","22,22161536"
2187,"40,60364516","22,22355743"
2190,"40,60364516","22,22548558"
2193,"40,60364516","22,22739991"
2196,"40,60364516","22,22930052"
2199,"40,60364516","22,23118752"
2202,"40,60364516","22,23306101"
2205,"40,60364516","22,2349211"
2208,"40,60364516","22,23676788"
2211,"40,60364516","22,23860145"
2214,"40,60364516","22,24042191"
2217,"40,60364516","22,24222937"
2220,"40,60364516","22,24402392"
2223,"40,60364516","22,24580565"
2226,"40,60364516","22,24757466"
2229,"40,60364516","22,24933105"
2232,"40,60364516","22,25107491"
2235,"40,60364516","22,25280633"
2238,"40,60364516","22,25452542"
2241,"40,60364516","22,25623225"
2244,"40,60364516","22,25792693"
2247,"40,60364516","22,25960954"
2250,"40,60364516","22,26128017"
2253,"40,60364516","22,26293891"
2256,"40,60364516","22,26458585"
2259,"40,60364516","22,26622108"
2262,"40,60364516","22,26784469"
2265,"40,60364516","22,26945676"
2268,"40,60364516","22,27105737"
2271,"40,60364516","22,27264662"
2274,"40,60364516","22,27422458"
2277,"40,60364516","22,27579134"
2280,"40,60364516","22,27734699"
2283,"40,60364516","22,2788916"
2286,"40,60364516","22,28042526"
2289,"40,60364516","22,28194805"
2292,"40,60364516","22,28346004"
2295,"40,60364516","22,28496132"
2298,"40,60364516","22,28645197"
2301,"40,60364516","22,28793207"
2304,"40,60364516","22,28940169"
2307,"40,60364516","22,29086091"
2310,"40,60364516","22,29230981"
2313,"40,60364516","22,29374846"
2316,"40,60364516","22,29517694"
2319,"40,60364516","22,29659532"
2322,"40,60364516","22,29800368"
2325,"40,60364516","22,29940209"
2328,"40,60364516","22,30079063"
2331,"40,60364516","22,30216936"
2334,"40,60364516","22,30353836"
2337,"40,60364516","22,3048977"
2340,"40,60364516","22,30624746"
2343,"40,60364516","22,30758769"
2346,"40,60364516","22,30891847"
2349,"40,60364516","22,31023988"
2352,"40,60364516","22,31155197"
2355,"40,60364516","22,31285482"
2358,"40,60364516","22,31414849"
